Time (s),AIN0 (V),AIN1 (V)
0.000000,0.091085,0.091091
0.001000,0.091091,0.091088
0.002000,0.091085,0.091085
0.003000,0.091091,0.091081
0.004000,0.091085,0.091078
0.005000,0.091081,0.091085
0.006000,0.091088,0.091078
0.007000,0.091085,0.091078
0.008000,0.091088,0.091085
0.009000,0.091088,0.091085
0.010000,0.091081,0.091081
0.011000,0.091088,0.091081
0.012000,0.091085,0.091078
0.013000,0.091091,0.091078
0.014000,0.091085,0.091078
0.015000,0.091208,0.091198
0.016000,0.091306,0.091303
0.017000,0.091369,0.091366
0.018000,0.091404,0.091398
0.019000,0.091426,0.091426
0.020000,0.091448,0.091448
0.021000,0.091461,0.091458
0.022000,0.091474,0.091471
0.023000,0.091477,0.091474
0.024000,0.091480,0.091480
0.025000,0.091490,0.091483
0.026000,0.091490,0.091486
0.027000,0.091493,0.091490
0.028000,0.091565,0.091565
0.029000,0.091626,0.091616
0.030000,0.091648,0.091651
0.031000,0.091676,0.091667
0.032000,0.091689,0.091686
0.033000,0.091698,0.091698
0.034000,0.091708,0.091705
0.035000,0.091714,0.091705
0.036000,0.091717,0.091708
0.037000,0.091724,0.091717
0.038000,0.091720,0.091714
0.039000,0.091720,0.091720
0.040000,0.091730,0.091724
0.041000,0.091724,0.091724
0.042000,0.091727,0.091727
0.043000,0.091724,0.091724
0.044000,0.091730,0.091720
0.045000,0.091730,0.091724
0.046000,0.091730,0.091724
0.047000,0.091730,0.091727
0.048000,0.091730,0.091730
0.049000,0.091730,0.091730
0.050000,0.091730,0.091727
0.051000,0.091736,0.091727
0.052000,0.091733,0.091730
0.053000,0.091736,0.091736
0.054000,0.091736,0.091736
0.055000,0.091736,0.091733
0.056000,0.091743,0.091730
0.057000,0.091736,0.091736
0.058000,0.091736,0.091736
0.059000,0.091736,0.091733
0.060000,0.091743,0.091733
0.061000,0.091743,0.091736
0.062000,0.091743,0.091743
0.063000,0.091739,0.091736
0.064000,0.091743,0.091733
0.065000,0.091613,0.091613
0.066000,0.091515,0.091512
0.067000,0.091458,0.091452
0.068000,0.091420,0.091417
0.069000,0.091391,0.091388
0.070000,0.091303,0.091300
0.071000,0.091236,0.091233
0.072000,0.091195,0.091192
0.073000,0.091170,0.091170
0.074000,0.091157,0.091148
0.075000,0.091142,0.091135
0.076000,0.091129,0.091129
0.077000,0.091123,0.091116
0.078000,0.091116,0.091116
0.079000,0.091110,0.091104
0.080000,0.091110,0.091100
0.081000,0.091107,0.091104
0.082000,0.091110,0.091107
0.083000,0.091104,0.091104
0.084000,0.091107,0.091097
0.085000,0.091104,0.091097
0.086000,0.091104,0.091097
0.087000,0.091104,0.091100
0.088000,0.091100,0.091100
0.089000,0.091100,0.091097
0.090000,0.091100,0.091094
0.091000,0.091100,0.091094
