Time (s),AIN0-AIN1 (V),AIN2-AIN3 (V)
0.000000,-0.000074,0.000110
0.001000,-0.000075,0.000110
0.002000,-0.000075,0.000110
0.003000,-0.000074,0.000110
0.004000,-0.000074,0.000111
0.005000,-0.000074,0.000112
0.006000,-0.000074,0.000112
0.007000,-0.000074,0.000112
0.008000,-0.000074,0.000112
0.009000,-0.000075,0.000111
0.010000,-0.000075,0.000111
0.011000,-0.000075,0.000111
0.012000,-0.000075,0.000111
0.013000,-0.000075,0.000112
0.014000,-0.000075,0.000111
0.015000,-0.000075,0.000112
0.016000,-0.000075,0.000112
0.017000,-0.000075,0.000112
0.018000,-0.000075,0.000112
0.019000,-0.000074,0.000113
0.020000,-0.000075,0.000113
0.021000,-0.000075,0.000113
0.022000,-0.000075,0.000114
0.023000,-0.000074,0.000114
0.024000,-0.000074,0.000114
0.025000,-0.000074,0.000114
0.026000,-0.000074,0.000114
0.027000,-0.000074,0.000114
0.028000,-0.000073,0.000115
0.029000,-0.000074,0.000114
0.030000,-0.000074,0.000114
0.031000,-0.000074,0.000114
0.032000,-0.000074,0.000114
0.033000,-0.000074,0.000114
0.034000,-0.000075,0.000113
0.035000,-0.000075,0.000113
0.036000,-0.000075,0.000114
0.037000,-0.000075,0.000115
0.038000,-0.000075,0.000115
0.039000,-0.000075,0.000115
0.040000,-0.000075,0.000114
0.041000,-0.000075,0.000114
0.042000,-0.000076,0.000114
0.043000,-0.000075,0.000115
0.044000,-0.000075,0.000116
0.045000,-0.000075,0.000115
0.046000,-0.000075,0.000115
0.047000,-0.000076,0.000114
0.048000,-0.000075,0.000115
0.049000,-0.000075,0.000115
0.050000,-0.000075,0.000115
0.051000,-0.000075,0.000115
0.052000,-0.000075,0.000115
0.053000,-0.000076,0.000115
0.054000,-0.000075,0.000116
0.055000,-0.000075,0.000116
0.056000,-0.000076,0.000116
0.057000,-0.000076,0.000116
0.058000,-0.000075,0.000115
0.059000,-0.000075,0.000115
0.060000,-0.000075,0.000115
0.061000,-0.000075,0.000116
0.062000,-0.000074,0.000116
0.063000,-0.000075,0.000115
0.064000,-0.000075,0.000115
0.065000,-0.000074,0.000115
0.066000,-0.000075,0.000115
0.067000,-0.000075,0.000116
0.068000,-0.000075,0.000114
0.069000,-0.000075,0.000115
0.070000,-0.000074,0.000115
0.071000,-0.000075,0.000115
0.072000,-0.000076,0.000114
0.073000,-0.000076,0.000114
0.074000,-0.000075,0.000114
0.075000,-0.000075,0.000114
0.076000,-0.000075,0.000114
0.077000,-0.000074,0.000114
0.078000,-0.000074,0.000115
0.079000,-0.000073,0.000115
0.080000,-0.000073,0.000115
0.081000,-0.000074,0.000114
0.082000,-0.000074,0.000115
0.083000,-0.000073,0.000115
0.084000,-0.000073,0.000115
0.085000,-0.000073,0.000115
0.086000,-0.000073,0.000115
0.087000,-0.000073,0.000114
0.088000,-0.000074,0.000113
0.089000,-0.000073,0.000113
0.090000,-0.000073,0.000114
0.091000,-0.000073,0.000114
